Station_Name,City,StartDateTime,EndDateTime,ChargingTime,Energy
COMM VITALITY / 1104 SPRUCE1,Boulder,10/28/2019 17:20,10/28/2019 18:03,0:42:31,4.306
COMM VITALITY / 1100WALNUT1,Boulder,10/31/2019 10:32,10/31/2019 10:32,0:00:00,0
BOULDER / ATRIUM ST1,Boulder,10/25/2019 14:53,10/25/2019 14:55,0:00:00,0
BOULDER / EAST REC,Boulder,10/28/2019 19:15,10/28/2019 20:05,0:48:29,2.521
BOULDER / ATRIUM ST1,Boulder,10/31/2019 10:35,10/31/2019 14:09,3:34:13,15.731
COMM VITALITY / 1100WALNUT1,Boulder,10/25/2019 15:02,10/25/2019 17:00,1:57:43,6.29
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/28/2019 21:55,10/29/2019 8:49,3:02:22,9.161
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/31/2019 10:38,10/31/2019 12:35,1:56:51,10.496
COMM VITALITY / 1104 SPRUCE1,Boulder,10/25/2019 15:08,10/25/2019 15:08,0:00:00,0
COMM VITALITY / 1000WALNUT1,Boulder,10/29/2019 6:03,10/29/2019 8:21,1:38:24,5.081
COMM VITALITY / BOULDER JCTN,Boulder,10/31/2019 10:50,10/31/2019 12:28,1:37:44,5.39
BOULDER / ATRIUM ST1,Boulder,10/25/2019 15:41,10/28/2019 13:57,0:32:43,1.713
BOULDER / N BOULDER REC 1,Boulder,10/29/2019 6:13,10/29/2019 6:45,0:31:31,3.279
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/31/2019 11:32,10/31/2019 12:50,1:18:14,3.489
COMM VITALITY / 1104 SPRUCE1,Boulder,10/25/2019 15:55,10/25/2019 19:49,2:02:22,6.481
BOULDER / ALPINE ST1,Boulder,10/25/2019 7:44,10/25/2019 11:36,2:37:17,9.125
BOULDER / REC CENTER ST1,Boulder,10/25/2019 7:55,10/25/2019 9:42,1:36:44,3.053
BOULDER / N BOULDER REC 1,Boulder,10/25/2019 8:12,10/25/2019 9:33,1:21:01,5.939
COMM VITALITY / 1400 WALNUT1,Boulder,10/25/2019 8:24,10/25/2019 16:13,6:10:57,38.192
BOULDER / EAST REC,Boulder,10/25/2019 8:30,10/25/2019 10:00,1:29:33,8.921
BOULDER / N BOULDER REC 1,Boulder,10/25/2019 8:39,10/25/2019 11:45,3:05:08,9.847
COMM VITALITY / 1000WALNUT1,Boulder,10/25/2019 9:01,10/25/2019 14:37,4:52:54,18.914
BOULDER / ATRIUM ST1,Boulder,10/31/2019 12:04,10/31/2019 12:06,0:00:49,0.04
COMM VITALITY / 1100WALNUT1,Boulder,10/25/2019 16:48,10/25/2019 19:14,1:24:40,8.541
COMM VITALITY / 1000WALNUT2,Boulder,10/25/2019 17:31,10/25/2019 18:21,0:49:41,1.04
COMM VITALITY / 1500PEARL2,Boulder,10/25/2019 18:06,10/25/2019 19:06,1:00:26,6.23
